GEOFIPS,Geo_QName,Geo_NAME,Occupied Housing Units,Owner Occupied,Renter Occupied,Median Value
06037101110,"Census Tract 1011.10, Los Angeles County, California",Census Tract 1011.10,1494,850,644,549500
06037101122,"Census Tract 1011.22, Los Angeles County, California",Census Tract 1011.22,1372,1028,344,707200
6037101220,"Census Tract 1012.20, Los Angeles County, California",Census Tract 1012.20,1357,595,762,582300
06037101221,"Census Tract 1012.21, Los Angeles County, California",Census Tract 1012.21,1450,310,1140,482300
06037101222,"Census Tract 1012.22, Los Angeles County, California",Census Tract 1012.22,935,119,816,421600
06037101300,"Census Tract 1013, Los Angeles County, California",Census Tract 1013,1420,1178,242,680700
06037101400,"Census Tract 1014, Los Angeles County, California",Census Tract 1014,1304,917,387,589200
06037102103,"Census Tract 1021.03, Los Angeles County, California",Census Tract 1021.03,669,419,250,775200
06037102104,"Census Tract 1021.04, Los Angeles County, California",Census Tract 1021.04,1310,1021,289,618200
06037102105,"Census Tract 1021.05, Los Angeles County, California",Census Tract 1021.05,554,303,251,553400
06037102107,"Census Tract 1021.07, Los Angeles County, California",Census Tract 1021.07,1204,944,260,710600
06037103101,"Census Tract 1031.01, Los Angeles County, California",Census Tract 1031.01,915,805,110,645000
06037103102,"Census Tract 1031.02, Los Angeles County, California",Census Tract 1031.02,1651,1221,430,538400
06037103201,"Census Tract 1032.01, Los Angeles County, California",Census Tract 1032.01,1530,647,883,569800
06037103202,"Census Tract 1032.02, Los Angeles County, California",Census Tract 1032.02,660,641,19,738300
06037103300,"Census Tract 1033, Los Angeles County, California",Census Tract 1033,1203,1161,42,825500
06037103401,"Census Tract 1034.01, Los Angeles County, California",Census Tract 1034.01,988,850,138,629700
06037103402,"Census Tract 1034.02, Los Angeles County, California",Census Tract 1034.02,1372,1068,304,626100
06037104103,"Census Tract 1041.03, Los Angeles County, California",Census Tract 1041.03,866,693,173,556000
06037104105,"Census Tract 1041.05, Los Angeles County, California",Census Tract 1041.05,1526,764,762,399500
06037104108,"Census Tract 1041.08, Los Angeles County, California",Census Tract 1041.08,1288,559,729,448300
06037104124,"Census Tract 1041.24, Los Angeles County, California",Census Tract 1041.24,1281,995,286,531700
