"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037101110","Census Tract 1011.10","Census Tract 1011.10, Los Angeles County, California","00","06","037","101110",4500,3233,2638,75,19,329,4,9,159,1267,558,11,22,0,0,566,110,4500,1669,1669,1626,43,29,241132.390261097,1626,818,808
"06037101122","Census Tract 1011.22","Census Tract 1011.22, Los Angeles County, California","00","06","037","101122",3176,2708.315,2351.983,55.19268,3.873171,187.8488,2.904878,7.746341,98.76585,467.6854,233.3585,2.904878,12.5878,0.9682927,0.9682927,186.8805,30.01707,3176,1192.93658536585,1192.93658536585,1159.04634146342,33.8902439024391,30,372493.151911859,1159.04634146342,992.500000000001,166.546341463415
"06037101210","Census Tract 1012.10","Census Tract 1012.10, Los Angeles County, California","00","06","037","101210",6066,3450,2496,317,22,337,1,9,268,2616,931,27,41,4,0,1461,152,6066,2194,2194,2111,83,32,201024.174475277,2111,287,1824
"06037101220","Census Tract 1012.20","Census Tract 1012.20, Los Angeles County, California","00","06","037","101220",3028,1933,1568,54,16,162,1,14,118,1095,450,4,16,0,0,529,96,3028,1258,1258,1204,54,27,223766.429049258,1204,419,785
"06037101300","Census Tract 1013","Census Tract 1013, Los Angeles County, California","00","06","037","101300",3973.997,3587.997,3125.998,17.99999,15.99999,258.9998,1.999998,4.999996,161.9999,385.9997,244.9998,3.999997,6.999995,1.999998,0,88.99993,38.99997,3973.99689865953,1526.99880831734,1526.99880831734,1487.99883875324,38.9999695640971,29,350730.386370899,1487.99883875324,1270.99900810173,216.999830651515
"06037101400","Census Tract 1014","Census Tract 1014, Los Angeles County, California","00","06","037","101400",3760,3119,2653,40,10,238,1,7,170,641,332,2,15,0,3,247,42,3760,1454,1454,1396,58,32,334111.045181527,1396,1021,375
"06037102103","Census Tract 1021.03","Census Tract 1021.03, Los Angeles County, California","00","06","037","102103",1696.944,1136.385,878.6866,33.0257,6.53809,160.4927,0.942313,2.630177,54.06885,560.5596,279.4372,2.160375,4.10963,1.860369,0.03887997,233.326,39.62719,1696.94409799219,598.506093069966,598.506093069966,587.138351230868,11.3677418390987,28,306017.799098848,587.138351230868,457.093662472865,130.044688758003
"06037102104","Census Tract 1021.04","Census Tract 1021.04, Los Angeles County, California","00","06","037","102104",2960.063,2065.323,1594.454,57.98015,11.42033,295.6109,1.756974,4.392436,99.7083,894.7392,462.5235,3.953192,5.270923,3.513949,0,351.3949,68.08276,2960.06256562928,1064.28722310725,1064.28722310725,1045.39974865673,18.8874744505207,28,306764.341878881,1045.39974865673,834.562824557893,210.836924098836
"06037102105","Census Tract 1021.05","Census Tract 1021.05, Los Angeles County, California","00","06","037","102105",1851.512,1291.161,996.7468,36.26298,7.14268,184.8271,1.098086,2.746293,62.33686,560.3508,289.5175,2.47231,3.307197,2.196441,0.0005391639,220.2496,42.60717,1851.51154604881,665.57306273853,665.57306273853,653.754352873587,11.8187098649428,28,306734.649675968,653.754352873587,521.770282051197,131.984070822391
