FIPS,Qualifying Name,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Average Commute to Work (In Min),Median Household Income (In 2021 Inflation Adjusted Dollars)
6037101110,"Census Tract 1011.10, Los Angeles County, California",3879,3879,2709,11,6,405,0,266,482,69.84,0.28,0.15,10.44,0,6.86,12.43,32,68529
6037101122,"Census Tract 1011.22, Los Angeles County, California",4247,4247,2980,99,0,607,0,245,316,70.17,2.33,0,14.29,0,5.77,7.44,37,108198
6037101220,"Census Tract 1012.20, Los Angeles County, California",3583,3583,1978,8,90,341,0,607,559,55.21,0.22,2.51,9.52,0,16.94,15.6,29,59119
6037101221,"Census Tract 1012.21, Los Angeles County, California",3723,3723,2545,97,0,209,0,668,204,68.36,2.61,0,5.61,0,17.94,5.48,35,48305
6037101222,"Census Tract 1012.22, Los Angeles County, California",2690,2690,2404,17,0,131,57,42,39,89.37,0.63,0,4.87,2.12,1.56,1.45,24,32106
6037101300,"Census Tract 1013, Los Angeles County, California",4068,4068,3283,56,0,162,0,200,367,80.7,1.38,0,3.98,0,4.92,9.02,31,111393
6037101400,"Census Tract 1014, Los Angeles County, California",3372,3372,2418,12,0,273,0,84,585,71.71,0.36,0,8.1,0,2.49,17.35,35,68000
6037102103,"Census Tract 1021.03, Los Angeles County, California",1767,1767,1440,28,0,148,0,52,99,81.49,1.58,0,8.38,0,2.94,5.6,26,65481
6037102104,"Census Tract 1021.04, Los Angeles County, California",4003,4003,3105,76,15,404,0,37,366,77.57,1.9,0.37,10.09,0,0.92,9.14,28,91402
6037102105,"Census Tract 1021.05, Los Angeles County, California",1674,1674,724,6,27,107,8,367,435,43.25,0.36,1.61,6.39,0.48,21.92,25.99,30,84519
6037102107,"Census Tract 1021.07, Los Angeles County, California",3920,3920,3035,64,0,460,0,163,198,77.42,1.63,0,11.73,0,4.16,5.05,35,90625
6037103101,"Census Tract 1031.01, Los Angeles County, California",2481,2481,1794,21,0,213,0,151,302,72.31,0.85,0,8.59,0,6.09,12.17,34,121705
6037103102,"Census Tract 1031.02, Los Angeles County, California",4692,4692,3443,0,0,413,0,603,233,73.38,0,0,8.8,0,12.85,4.97,40,75203
6037103201,"Census Tract 1032.01, Los Angeles County, California",4179,4179,3373,31,0,161,5,33,576,80.71,0.74,0,3.85,0.12,0.79,13.78,36,77377
6037103202,"Census Tract 1032.02, Los Angeles County, California",2082,2082,1560,1,0,56,0,453,12,74.93,0.05,0,2.69,0,21.76,0.58,34,104747
6037103300,"Census Tract 1033, Los Angeles County, California",3842,3842,2939,88,23,288,0,84,420,76.5,2.29,0.6,7.5,0,2.19,10.93,42,129904
6037103401,"Census Tract 1034.01, Los Angeles County, California",2643,2643,1729,0,16,687,0,14,197,65.42,0,0.61,25.99,0,0.53,7.45,35,110323
6037103402,"Census Tract 1034.02, Los Angeles County, California",3902,3902,2260,449,0,512,0,536,145,57.92,11.51,0,13.12,0,13.74,3.72,34,105500
6037104103,"Census Tract 1041.03, Los Angeles County, California",4204,4204,1724,551,29,202,0,472,1226,41.01,13.11,0.69,4.8,0,11.23,29.16,31,105921
6037104105,"Census Tract 1041.05, Los Angeles County, California",5789,5789,2573,254,38,306,0,1818,800,44.45,4.39,0.66,5.29,0,31.4,13.82,31,51711
6037104108,"Census Tract 1041.08, Los Angeles County, California",5138,5138,2370,275,14,88,30,1719,642,46.13,5.35,0.27,1.71,0.58,33.46,12.5,32,58784
6037104124,"Census Tract 1041.24, Los Angeles County, California",3889,3889,2058,483,124,379,0,471,374,52.92,12.42,3.19,9.75,0,12.11,9.62,35,68772
6037104201,"Census Tract 1042.01, Los Angeles County, California",4599,4599,1629,560,60,14,0,1772,564,35.42,12.18,1.3,0.3,0,38.53,12.26,33,83462
6037104203,"Census Tract 1042.03, Los Angeles County, California",5178,5178,2465,297,81,19,0,1463,853,47.61,5.74,1.56,0.37,0,28.25,16.47,32,55875
6037104204,"Census Tract 1042.04, Los Angeles County, California",3749,3749,1985,204,64,195,0,686,615,52.95,5.44,1.71,5.2,0,18.3,16.4,30,61927
6037104310,"Census Tract 1043.10, Los Angeles County, California",4875,4875,1824,117,0,4,0,2116,814,37.42,2.4,0,0.08,0,43.41,16.7,29,86635
6037104321,"Census Tract 1043.21, Los Angeles County, California",3115,3115,1311,97,0,9,0,1026,672,42.09,3.11,0,0.29,0,32.94,21.57,34,31714
6037104322,"Census Tract 1043.22, Los Angeles County, California",1892,1892,927,18,2,30,0,778,137,49,0.95,0.11,1.59,0,41.12,7.24,30,59550
