Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A09003_001
"06037101110","Census Tract 1011.10, Los Angeles County, California","ACSSF","ca","140","00","0004200",,,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101110","Census Tract 1011.10",,,,3879,8794.253,0.441083510811633,3879,2709,11,6,405,0,266,482,3879,2874,2305,11,6,405,0,8,139,1005,404,0,0,0,0,258,343,32
"06037101122","Census Tract 1011.22, Los Angeles County, California","ACSSF","ca","140","00","0004201",,,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101122","Census Tract 1011.22",,,,4247,4160.171,1.02087152527348,4247,2980,99,0,607,0,245,316,4247,3908,2940,99,0,607,0,0,262,339,40,0,0,0,0,245,54,37
"06037101220","Census Tract 1012.20, Los Angeles County, California","ACSSF","ca","140","00","0004202",,,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101220","Census Tract 1012.20",,,,3583,13278.17,0.269841404670601,3583,1978,8,90,341,0,607,559,3583,1800,1308,8,40,341,0,5,98,1783,670,0,50,0,0,602,461,29
"06037101221","Census Tract 1012.21, Los Angeles County, California","ACSSF","ca","140","00","0004203",,,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101221","Census Tract 1012.21",,,,3723,27225.08,0.136748896133882,3723,2545,97,0,209,0,668,204,3723,2520,2070,97,0,209,0,113,31,1203,475,0,0,0,0,555,173,35
"06037101222","Census Tract 1012.22, Los Angeles County, California","ACSSF","ca","140","00","0004204",,,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101222","Census Tract 1012.22",,,,2690,23496.75,0.114483928110864,2690,2404,17,0,131,57,42,39,2690,1775,1570,17,0,131,57,0,0,915,834,0,0,0,0,42,39,24
"06037101300","Census Tract 1013, Los Angeles County, California","ACSSF","ca","140","00","0004205",,,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101300","Census Tract 1013",,,,4068,4082.992,0.996328168315838,4068,3283,56,0,162,0,200,367,4068,3468,3055,56,0,162,0,129,66,600,228,0,0,0,0,71,301,31
"06037101400","Census Tract 1014, Los Angeles County, California","ACSSF","ca","140","00","0004206",,,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037101400","Census Tract 1014",,,,3372,1384.051,2.43632634591357,3372,2418,12,0,273,0,84,585,3372,2640,2200,4,0,260,0,0,176,732,218,8,0,13,0,84,409,35
"06037102103","Census Tract 1021.03, Los Angeles County, California","ACSSF","ca","140","00","0004207",,,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102103","Census Tract 1021.03",,,,1767,3857.202,0.458104052991751,1767,1440,28,0,148,0,52,99,1767,1603,1375,28,0,148,0,0,52,164,65,0,0,0,0,52,47,26
"06037102104","Census Tract 1021.04, Los Angeles County, California","ACSSF","ca","140","00","0004208",,,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102104","Census Tract 1021.04",,,,4003,6251.068,0.640370534535295,4003,3105,76,15,404,0,37,366,4003,3397,2636,76,13,404,0,0,268,606,469,0,2,0,0,37,98,28
"06037102105","Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","140","00","0004209",,,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037102105","Census Tract 1021.05",,,,1674,8798.667,0.190256093850628,1674,724,6,27,107,8,367,435,1674,606,400,6,27,107,8,0,58,1068,324,0,0,0,0,367,377,30
